"Seconds","Leaf","V","plant","Genotype","Stim","Date","DayTime","Plot","id"
75,"L08",0.922226,2,"example1","CG",241010,"15:20:59.953","Yes",1
76,"L08",0.921165,2,"example1","CG",241010,"15:21:00.953","Yes",1
77,"L08",0.906579,2,"example1","CG",241010,"15:21:01.953","Yes",1
78,"L08",0.865804,2,"example1","CG",241010,"15:21:02.953","Yes",1
79,"L08",0.844998,2,"example1","CG",241010,"15:21:03.953","Yes",1
80,"L08",0.877576,2,"example1","CG",241010,"15:21:04.953","Yes",1
81,"L08",0.934879,2,"example1","CG",241010,"15:21:05.953","Yes",1
82,"L08",1.00548,2,"example1","CG",241010,"15:21:06.953","Yes",1
83,"L08",1.06323,2,"example1","CG",241010,"15:21:07.953","Yes",1
84,"L08",1.16563,2,"example1","CG",241010,"15:21:08.953","Yes",1
85,"L08",1.2571,2,"example1","CG",241010,"15:21:09.953","Yes",1
86,"L08",1.4023,2,"example1","CG",241010,"15:21:10.953","Yes",1
87,"L08",1.49417,2,"example1","CG",241010,"15:21:11.953","Yes",1
88,"L08",1.58384,2,"example1","CG",241010,"15:21:12.953","Yes",1
89,"L08",1.6142,2,"example1","CG",241010,"15:21:13.953","Yes",1
90,"L08",1.69112,2,"example1","CG",241010,"15:21:14.953","Yes",1
91,"L08",1.75188,2,"example1","CG",241010,"15:21:15.953","Yes",1
92,"L08",1.81302,2,"example1","CG",241010,"15:21:16.953","Yes",1
93,"L08",1.846,2,"example1","CG",241010,"15:21:17.953","Yes",1
94,"L08",1.94031,2,"example1","CG",241010,"15:21:18.953","Yes",1
NA,"L08",NA,2,"example1","CG",241010,"F1","Yes",1
95,"L08",1.92002,2,"example1","CG",241010,"15:21:19.953","Yes",1
96,"L08",1.91396,2,"example1","CG",241010,"15:21:20.953","Yes",1
97,"L08",1.92892,2,"example1","CG",241010,"15:21:21.953","Yes",1
NA,"L08",NA,2,"example1","CG",241010,"F1","Yes",1
98,"L08",1.95605,2,"example1","CG",241010,"15:21:22.953","Yes",1
99,"L08",1.9926,2,"example1","CG",241010,"15:21:23.953","Yes",1
100,"L08",2.0312,2,"example1","CG",241010,"15:21:24.953","Yes",1
101,"L08",2.09176,2,"example1","CG",241010,"15:21:25.953","Yes",1
102,"L08",-6.90785,2,"example1","CG",241010,"15:21:26.953","Yes",1
103,"L08",-3.96991,2,"example1","CG",241010,"15:21:27.953","Yes",1
104,"L08",-21.4521,2,"example1","CG",241010,"15:21:28.953","Yes",1
105,"L08",-14.1139,2,"example1","CG",241010,"15:21:29.953","Yes",1
106,"L08",-12.741,2,"example1","CG",241010,"15:21:30.953","Yes",1
107,"L08",-8.3167,2,"example1","CG",241010,"15:21:31.953","Yes",1
108,"L08",-6.13719,2,"example1","CG",241010,"15:21:32.953","Yes",1
109,"L08",-4.6425,2,"example1","CG",241010,"15:21:33.953","Yes",1
110,"L08",-3.72027,2,"example1","CG",241010,"15:21:34.953","Yes",1
111,"L08",-3.27035,2,"example1","CG",241010,"15:21:35.953","Yes",1
112,"L08",-3.05291,2,"example1","CG",241010,"15:21:36.953","Yes",1
NA,"L08",NA,2,"example1","CG",241010,"F1","Yes",1
113,"L08",-21.2321,2,"example1","CG",241010,"15:21:37.953","Yes",1
114,"L08",-76.4064,2,"example1","CG",241010,"15:21:38.953","Yes",1
115,"L08",-74.6906,2,"example1","CG",241010,"15:21:39.953","Yes",1
NA,"L08",NA,2,"example1","CG",241010,"F1","Yes",1
116,"L08",-69.3855,2,"example1","CG",241010,"15:21:40.953","Yes",1
117,"L08",-65.8206,2,"example1","CG",241010,"15:21:41.953","Yes",1
118,"L08",-64.1086,2,"example1","CG",241010,"15:21:42.953","Yes",1
119,"L08",-62.9444,2,"example1","CG",241010,"15:21:43.953","Yes",1
120,"L08",-61.6343,2,"example1","CG",241010,"15:21:44.953","Yes",1
121,"L08",-60.0469,2,"example1","CG",241010,"15:21:45.953","Yes",1
122,"L08",-58.2213,2,"example1","CG",241010,"15:21:46.953","Yes",1
123,"L08",-56.2994,2,"example1","CG",241010,"15:21:47.953","Yes",1
124,"L08",-54.4079,2,"example1","CG",241010,"15:21:48.953","Yes",1
125,"L08",-53.3273,2,"example1","CG",241010,"15:21:49.953","Yes",1
126,"L08",-54.4325,2,"example1","CG",241010,"15:21:50.953","Yes",1
127,"L08",-58.4762,2,"example1","CG",241010,"15:21:51.953","Yes",1
128,"L08",-65.8886,2,"example1","CG",241010,"15:21:52.953","Yes",1
129,"L08",-67.3212,2,"example1","CG",241010,"15:21:53.953","Yes",1
130,"L08",-66.3504,2,"example1","CG",241010,"15:21:54.953","Yes",1
131,"L08",-65.6418,2,"example1","CG",241010,"15:21:55.953","Yes",1
132,"L08",-65.3068,2,"example1","CG",241010,"15:21:56.953","Yes",1
133,"L08",-65.3418,2,"example1","CG",241010,"15:21:57.953","Yes",1
134,"L08",-65.4928,2,"example1","CG",241010,"15:21:58.953","Yes",1
135,"L08",-65.8429,2,"example1","CG",241010,"15:21:59.953","Yes",1
136,"L08",-66.3904,2,"example1","CG",241010,"15:22:00.953","Yes",1
137,"L08",-66.4845,2,"example1","CG",241010,"15:22:01.953","Yes",1
138,"L08",-65.8082,2,"example1","CG",241010,"15:22:02.953","Yes",1
139,"L08",-63.9846,2,"example1","CG",241010,"15:22:03.953","Yes",1
140,"L08",-61.3932,2,"example1","CG",241010,"15:22:04.953","Yes",1
141,"L08",-58.9272,2,"example1","CG",241010,"15:22:05.953","Yes",1
142,"L08",-55.6939,2,"example1","CG",241010,"15:22:06.953","Yes",1
143,"L08",-51.7854,2,"example1","CG",241010,"15:22:07.953","Yes",1
144,"L08",-46.717,2,"example1","CG",241010,"15:22:08.953","Yes",1
145,"L08",-42.9562,2,"example1","CG",241010,"15:22:09.953","Yes",1
146,"L08",-41.3367,2,"example1","CG",241010,"15:22:10.953","Yes",1
147,"L08",-40.1517,2,"example1","CG",241010,"15:22:11.953","Yes",1
148,"L08",-38.0114,2,"example1","CG",241010,"15:22:12.953","Yes",1
149,"L08",-34.5461,2,"example1","CG",241010,"15:22:13.953","Yes",1
150,"L08",-30.4769,2,"example1","CG",241010,"15:22:14.953","Yes",1
151,"L08",-27.1168,2,"example1","CG",241010,"15:22:15.953","Yes",1
152,"L08",-23.949,2,"example1","CG",241010,"15:22:16.953","Yes",1
153,"L08",-20.1317,2,"example1","CG",241010,"15:22:17.953","Yes",1
154,"L08",-19.41,2,"example1","CG",241010,"15:22:18.953","Yes",1
155,"L08",-18.9456,2,"example1","CG",241010,"15:22:19.953","Yes",1
156,"L08",-18.1368,2,"example1","CG",241010,"15:22:20.953","Yes",1
157,"L08",-17.1954,2,"example1","CG",241010,"15:22:21.953","Yes",1
158,"L08",-16.2063,2,"example1","CG",241010,"15:22:22.953","Yes",1
159,"L08",-14.8486,2,"example1","CG",241010,"15:22:23.953","Yes",1
160,"L08",-13.5997,2,"example1","CG",241010,"15:22:24.953","Yes",1
161,"L08",-13.1213,2,"example1","CG",241010,"15:22:25.953","Yes",1
162,"L08",-12.7422,2,"example1","CG",241010,"15:22:26.953","Yes",1
163,"L08",-12.3526,2,"example1","CG",241010,"15:22:27.953","Yes",1
164,"L08",-11.9995,2,"example1","CG",241010,"15:22:28.953","Yes",1
165,"L08",-11.6197,2,"example1","CG",241010,"15:22:29.953","Yes",1
166,"L08",-11.2329,2,"example1","CG",241010,"15:22:30.953","Yes",1
167,"L08",-10.912,2,"example1","CG",241010,"15:22:31.953","Yes",1
168,"L08",-10.5311,2,"example1","CG",241010,"15:22:32.953","Yes",1
169,"L08",-10.1418,2,"example1","CG",241010,"15:22:33.953","Yes",1
170,"L08",-9.86038,2,"example1","CG",241010,"15:22:34.953","Yes",1
171,"L08",-9.55001,2,"example1","CG",241010,"15:22:35.953","Yes",1
172,"L08",-9.27919,2,"example1","CG",241010,"15:22:36.953","Yes",1
173,"L08",-8.8999,2,"example1","CG",241010,"15:22:37.953","Yes",1
174,"L08",-8.6071,2,"example1","CG",241010,"15:22:38.953","Yes",1
175,"L08",-8.39523,2,"example1","CG",241010,"15:22:39.953","Yes",1
176,"L08",-8.15945,2,"example1","CG",241010,"15:22:40.953","Yes",1
177,"L08",-7.98679,2,"example1","CG",241010,"15:22:41.953","Yes",1
178,"L08",-7.74526,2,"example1","CG",241010,"15:22:42.953","Yes",1
179,"L08",-7.57969,2,"example1","CG",241010,"15:22:43.953","Yes",1
180,"L08",-7.38607,2,"example1","CG",241010,"15:22:44.953","Yes",1
181,"L08",-7.18876,2,"example1","CG",241010,"15:22:45.953","Yes",1
182,"L08",-6.97253,2,"example1","CG",241010,"15:22:46.953","Yes",1
183,"L08",-6.78185,2,"example1","CG",241010,"15:22:47.953","Yes",1
184,"L08",-6.54323,2,"example1","CG",241010,"15:22:48.953","Yes",1
185,"L08",-6.36625,2,"example1","CG",241010,"15:22:49.953","Yes",1
186,"L08",-6.219,2,"example1","CG",241010,"15:22:50.953","Yes",1
187,"L08",-6.12931,2,"example1","CG",241010,"15:22:51.953","Yes",1
188,"L08",-5.94694,2,"example1","CG",241010,"15:22:52.953","Yes",1
189,"L08",-5.82909,2,"example1","CG",241010,"15:22:53.953","Yes",1
190,"L08",-5.75806,2,"example1","CG",241010,"15:22:54.953","Yes",1
191,"L08",-5.69833,2,"example1","CG",241010,"15:22:55.953","Yes",1
192,"L08",-5.64865,2,"example1","CG",241010,"15:22:56.953","Yes",1
193,"L08",-5.62426,2,"example1","CG",241010,"15:22:57.953","Yes",1
194,"L08",-5.64258,2,"example1","CG",241010,"15:22:58.953","Yes",1
195,"L08",-5.68522,2,"example1","CG",241010,"15:22:59.953","Yes",1
196,"L08",-5.70849,2,"example1","CG",241010,"15:23:00.953","Yes",1
197,"L08",-5.84839,2,"example1","CG",241010,"15:23:01.953","Yes",1
198,"L08",-6.02459,2,"example1","CG",241010,"15:23:02.953","Yes",1
199,"L08",-6.27039,2,"example1","CG",241010,"15:23:03.953","Yes",1
200,"L08",-6.52141,2,"example1","CG",241010,"15:23:04.953","Yes",1
201,"L08",-6.6289,2,"example1","CG",241010,"15:23:05.953","Yes",1
202,"L08",-6.74859,2,"example1","CG",241010,"15:23:06.953","Yes",1
203,"L08",-6.89171,2,"example1","CG",241010,"15:23:07.953","Yes",1
204,"L08",-7.1309,2,"example1","CG",241010,"15:23:08.953","Yes",1
205,"L08",-7.3679,2,"example1","CG",241010,"15:23:09.953","Yes",1
206,"L08",-7.71081,2,"example1","CG",241010,"15:23:10.953","Yes",1
207,"L08",-8.00738,2,"example1","CG",241010,"15:23:11.953","Yes",1
208,"L08",-8.3295,2,"example1","CG",241010,"15:23:12.953","Yes",1
209,"L08",-8.61762,2,"example1","CG",241010,"15:23:13.953","Yes",1
210,"L08",-8.97464,2,"example1","CG",241010,"15:23:14.953","Yes",1
211,"L08",-9.22409,2,"example1","CG",241010,"15:23:15.953","Yes",1
212,"L08",-9.46412,2,"example1","CG",241010,"15:23:16.953","Yes",1
213,"L08",-9.7956,2,"example1","CG",241010,"15:23:17.953","Yes",1
214,"L08",-10.0939,2,"example1","CG",241010,"15:23:18.953","Yes",1
215,"L08",-10.2457,2,"example1","CG",241010,"15:23:19.953","Yes",1
216,"L08",-10.3654,2,"example1","CG",241010,"15:23:20.953","Yes",1
217,"L08",-10.5682,2,"example1","CG",241010,"15:23:21.953","Yes",1
218,"L08",-10.7722,2,"example1","CG",241010,"15:23:22.953","Yes",1
219,"L08",-11.0122,2,"example1","CG",241010,"15:23:23.953","Yes",1
220,"L08",-11.2498,2,"example1","CG",241010,"15:23:24.953","Yes",1
221,"L08",-11.4378,2,"example1","CG",241010,"15:23:25.953","Yes",1
222,"L08",-11.6214,2,"example1","CG",241010,"15:23:26.953","Yes",1
223,"L08",-11.8033,2,"example1","CG",241010,"15:23:27.953","Yes",1
224,"L08",-11.8336,2,"example1","CG",241010,"15:23:28.953","Yes",1
225,"L08",-12.016,2,"example1","CG",241010,"15:23:29.953","Yes",1
226,"L08",-12.2128,2,"example1","CG",241010,"15:23:30.953","Yes",1
227,"L08",-12.5337,2,"example1","CG",241010,"15:23:31.953","Yes",1
228,"L08",-12.6666,2,"example1","CG",241010,"15:23:32.953","Yes",1
229,"L08",-12.8549,2,"example1","CG",241010,"15:23:33.953","Yes",1
230,"L08",-12.8421,2,"example1","CG",241010,"15:23:34.953","Yes",1
231,"L08",-13.0794,2,"example1","CG",241010,"15:23:35.953","Yes",1
232,"L08",-13.3034,2,"example1","CG",241010,"15:23:36.953","Yes",1
233,"L08",-13.4623,2,"example1","CG",241010,"15:23:37.953","Yes",1
234,"L08",-13.5597,2,"example1","CG",241010,"15:23:38.953","Yes",1
235,"L08",-13.6737,2,"example1","CG",241010,"15:23:39.953","Yes",1
236,"L08",-13.9577,2,"example1","CG",241010,"15:23:40.953","Yes",1
237,"L08",-14.1052,2,"example1","CG",241010,"15:23:41.953","Yes",1
238,"L08",-14.4571,2,"example1","CG",241010,"15:23:42.953","Yes",1
239,"L08",-14.5548,2,"example1","CG",241010,"15:23:43.953","Yes",1
240,"L08",-14.6857,2,"example1","CG",241010,"15:23:44.953","Yes",1
241,"L08",-14.7735,2,"example1","CG",241010,"15:23:45.953","Yes",1
242,"L08",-14.8007,2,"example1","CG",241010,"15:23:46.953","Yes",1
243,"L08",-14.8872,2,"example1","CG",241010,"15:23:47.953","Yes",1
244,"L08",-15.0644,2,"example1","CG",241010,"15:23:48.953","Yes",1
245,"L08",-15.1161,2,"example1","CG",241010,"15:23:49.953","Yes",1
246,"L08",-15.3631,2,"example1","CG",241010,"15:23:50.953","Yes",1
247,"L08",-15.3149,2,"example1","CG",241010,"15:23:51.953","Yes",1
248,"L08",-15.3029,2,"example1","CG",241010,"15:23:52.953","Yes",1
249,"L08",-15.1966,2,"example1","CG",241010,"15:23:53.953","Yes",1
250,"L08",-15.1712,2,"example1","CG",241010,"15:23:54.953","Yes",1
251,"L08",-15.5349,2,"example1","CG",241010,"15:23:55.953","Yes",1
252,"L08",-15.4285,2,"example1","CG",241010,"15:23:56.953","Yes",1
253,"L08",-15.1904,2,"example1","CG",241010,"15:23:57.953","Yes",1
254,"L08",-15.1446,2,"example1","CG",241010,"15:23:58.953","Yes",1
255,"L08",-15.2082,2,"example1","CG",241010,"15:23:59.953","Yes",1
256,"L08",-15.1654,2,"example1","CG",241010,"15:24:00.953","Yes",1
257,"L08",-14.633,2,"example1","CG",241010,"15:24:01.953","Yes",1
258,"L08",-14.2438,2,"example1","CG",241010,"15:24:02.953","Yes",1
259,"L08",-14.5536,2,"example1","CG",241010,"15:24:03.953","Yes",1
260,"L08",-14.5696,2,"example1","CG",241010,"15:24:04.953","Yes",1
261,"L08",-15.0004,2,"example1","CG",241010,"15:24:05.953","Yes",1
262,"L08",-14.7855,2,"example1","CG",241010,"15:24:06.953","Yes",1
263,"L08",-14.9654,2,"example1","CG",241010,"15:24:07.953","Yes",1
264,"L08",-15.4433,2,"example1","CG",241010,"15:24:08.953","Yes",1
265,"L08",-15.8084,2,"example1","CG",241010,"15:24:09.953","Yes",1
266,"L08",-16.1615,2,"example1","CG",241010,"15:24:10.953","Yes",1
267,"L08",-16.3801,2,"example1","CG",241010,"15:24:11.953","Yes",1
268,"L08",-16.0366,2,"example1","CG",241010,"15:24:12.953","Yes",1
269,"L08",-15.4235,2,"example1","CG",241010,"15:24:13.953","Yes",1
270,"L08",-15.2859,2,"example1","CG",241010,"15:24:14.953","Yes",1
271,"L08",-14.9249,2,"example1","CG",241010,"15:24:15.953","Yes",1
272,"L08",-14.1333,2,"example1","CG",241010,"15:24:16.953","Yes",1
273,"L08",-13.9099,2,"example1","CG",241010,"15:24:17.953","Yes",1
274,"L08",-15.3433,2,"example1","CG",241010,"15:24:18.953","Yes",1
275,"L08",-15.8002,2,"example1","CG",241010,"15:24:19.953","Yes",1
276,"L08",-16.381,2,"example1","CG",241010,"15:24:20.953","Yes",1
277,"L08",-16.3452,2,"example1","CG",241010,"15:24:21.953","Yes",1
278,"L08",-15.6011,2,"example1","CG",241010,"15:24:22.953","Yes",1
279,"L08",-14.2456,2,"example1","CG",241010,"15:24:23.953","Yes",1
280,"L08",-13.857,2,"example1","CG",241010,"15:24:24.953","Yes",1
281,"L08",-14.9663,2,"example1","CG",241010,"15:24:25.953","Yes",1
282,"L08",-15.8845,2,"example1","CG",241010,"15:24:26.953","Yes",1
283,"L08",-16.6866,2,"example1","CG",241010,"15:24:27.953","Yes",1
284,"L08",-16.7469,2,"example1","CG",241010,"15:24:28.953","Yes",1
285,"L08",-16.0526,2,"example1","CG",241010,"15:24:29.953","Yes",1
286,"L08",-17.2418,2,"example1","CG",241010,"15:24:30.953","Yes",1
287,"L08",-17.0478,2,"example1","CG",241010,"15:24:31.953","Yes",1
288,"L08",-16.3582,2,"example1","CG",241010,"15:24:32.953","Yes",1
289,"L08",-16.5489,2,"example1","CG",241010,"15:24:33.953","Yes",1
290,"L08",-16.9381,2,"example1","CG",241010,"15:24:34.953","Yes",1
291,"L08",-17.7148,2,"example1","CG",241010,"15:24:35.953","Yes",1
292,"L08",-18.314,2,"example1","CG",241010,"15:24:36.953","Yes",1
293,"L08",-18.908,2,"example1","CG",241010,"15:24:37.953","Yes",1
294,"L08",-19.449,2,"example1","CG",241010,"15:24:38.953","Yes",1
295,"L08",-19.5051,2,"example1","CG",241010,"15:24:39.953","Yes",1
296,"L08",-19.539,2,"example1","CG",241010,"15:24:40.953","Yes",1
297,"L08",-19.6207,2,"example1","CG",241010,"15:24:41.953","Yes",1
298,"L08",-19.627,2,"example1","CG",241010,"15:24:42.953","Yes",1
299,"L08",-19.6121,2,"example1","CG",241010,"15:24:43.953","Yes",1
300,"L08",-19.6248,2,"example1","CG",241010,"15:24:44.953","Yes",1
301,"L08",-19.6052,2,"example1","CG",241010,"15:24:45.953","Yes",1
302,"L08",-19.6216,2,"example1","CG",241010,"15:24:46.953","Yes",1
303,"L08",-19.6468,2,"example1","CG",241010,"15:24:47.953","Yes",1
304,"L08",-19.6079,2,"example1","CG",241010,"15:24:48.953","Yes",1
305,"L08",-19.5644,2,"example1","CG",241010,"15:24:49.953","Yes",1
306,"L08",-19.5518,2,"example1","CG",241010,"15:24:50.953","Yes",1
307,"L08",-19.5212,2,"example1","CG",241010,"15:24:51.953","Yes",1
308,"L08",-19.4827,2,"example1","CG",241010,"15:24:52.953","Yes",1
309,"L08",-19.4543,2,"example1","CG",241010,"15:24:53.953","Yes",1
310,"L08",-19.4476,2,"example1","CG",241010,"15:24:54.953","Yes",1
311,"L08",-19.4357,2,"example1","CG",241010,"15:24:55.953","Yes",1
312,"L08",-19.4114,2,"example1","CG",241010,"15:24:56.953","Yes",1
313,"L08",-19.3875,2,"example1","CG",241010,"15:24:57.953","Yes",1
314,"L08",-19.3713,2,"example1","CG",241010,"15:24:58.953","Yes",1
315,"L08",-19.341,2,"example1","CG",241010,"15:24:59.953","Yes",1
316,"L08",-19.3167,2,"example1","CG",241010,"15:25:00.953","Yes",1
317,"L08",-19.2921,2,"example1","CG",241010,"15:25:01.953","Yes",1
318,"L08",-19.2906,2,"example1","CG",241010,"15:25:02.953","Yes",1
319,"L08",-19.2756,2,"example1","CG",241010,"15:25:03.953","Yes",1
320,"L08",-19.2662,2,"example1","CG",241010,"15:25:04.953","Yes",1
321,"L08",-19.2608,2,"example1","CG",241010,"15:25:05.953","Yes",1
322,"L08",-19.2746,2,"example1","CG",241010,"15:25:06.953","Yes",1
323,"L08",-19.2578,2,"example1","CG",241010,"15:25:07.953","Yes",1
324,"L08",-19.2588,2,"example1","CG",241010,"15:25:08.953","Yes",1
325,"L08",-19.2822,2,"example1","CG",241010,"15:25:09.953","Yes",1
326,"L08",-19.2794,2,"example1","CG",241010,"15:25:10.953","Yes",1
327,"L08",-19.277,2,"example1","CG",241010,"15:25:11.953","Yes",1
328,"L08",-19.2914,2,"example1","CG",241010,"15:25:12.953","Yes",1
329,"L08",-19.3176,2,"example1","CG",241010,"15:25:13.953","Yes",1
330,"L08",-19.322,2,"example1","CG",241010,"15:25:14.953","Yes",1
331,"L08",-19.3305,2,"example1","CG",241010,"15:25:15.953","Yes",1
332,"L08",-19.3163,2,"example1","CG",241010,"15:25:16.953","Yes",1
333,"L08",-19.3052,2,"example1","CG",241010,"15:25:17.953","Yes",1
334,"L08",-19.2851,2,"example1","CG",241010,"15:25:18.953","Yes",1
335,"L08",-19.2767,2,"example1","CG",241010,"15:25:19.953","Yes",1
336,"L08",-19.2563,2,"example1","CG",241010,"15:25:20.953","Yes",1
337,"L08",-19.2456,2,"example1","CG",241010,"15:25:21.953","Yes",1
338,"L08",-19.2146,2,"example1","CG",241010,"15:25:22.953","Yes",1
339,"L08",-19.1946,2,"example1","CG",241010,"15:25:23.953","Yes",1
340,"L08",-19.1544,2,"example1","CG",241010,"15:25:24.953","Yes",1
341,"L08",-19.1654,2,"example1","CG",241010,"15:25:25.953","Yes",1
342,"L08",-19.1701,2,"example1","CG",241010,"15:25:26.953","Yes",1
343,"L08",-19.1479,2,"example1","CG",241010,"15:25:27.953","Yes",1
344,"L08",-19.1685,2,"example1","CG",241010,"15:25:28.953","Yes",1
345,"L08",-19.2174,2,"example1","CG",241010,"15:25:29.953","Yes",1
346,"L08",-19.2773,2,"example1","CG",241010,"15:25:30.953","Yes",1
347,"L08",-19.3247,2,"example1","CG",241010,"15:25:31.953","Yes",1
348,"L08",-19.3367,2,"example1","CG",241010,"15:25:32.953","Yes",1
349,"L08",-19.3693,2,"example1","CG",241010,"15:25:33.953","Yes",1
350,"L08",-19.3621,2,"example1","CG",241010,"15:25:34.953","Yes",1
351,"L08",-19.3804,2,"example1","CG",241010,"15:25:35.953","Yes",1
352,"L08",-19.3892,2,"example1","CG",241010,"15:25:36.953","Yes",1
353,"L08",-19.3475,2,"example1","CG",241010,"15:25:37.953","Yes",1
354,"L08",-19.3422,2,"example1","CG",241010,"15:25:38.953","Yes",1
355,"L08",-19.3246,2,"example1","CG",241010,"15:25:39.953","Yes",1
